symbol,date,order_type,side,fees,quantity,average_price
AAPL,2020-09-17T17:37:41.421283Z,market,buy,0.00,0.04530000,110.37530000
TQQQ,2020-09-17T17:35:54.179861Z,market,sell,0.00,0.04180000,119.61720000
NKLA,2020-09-17T13:54:28.886753Z,market,buy,0.00,1.44000000,34.61810000
TQQQ,2020-09-17T13:53:11.724363Z,market,sell,0.00,0.29270000,120.94290000
FB,2020-09-16T13:38:27.753186Z,market,buy,0.00,0.18440000,271.09540000
MSFT,2020-09-16T13:38:27.053278Z,market,buy,0.00,0.23980000,208.54880000
O,2020-09-16T13:49:17.085511Z,market,buy,0.00,0.00060600,66.00660000
TWOU,2020-09-14T13:30:35.032396Z,market,buy,0.00,1.27000000,37.61420000
AGNC,2020-09-11T13:39:13.841365Z,market,buy,0.00,0.00983800,14.23050000
BIGC,2020-09-11T13:30:17.641395Z,market,sell,0.00,1.14066600,83.25840000
TAN,2020-09-10T19:32:08.534121Z,market,buy,0.00,0.96378600,51.87870000
TSLA,2020-09-10T19:09:43.379151Z,market,buy,0.00,0.13760000,362.93600000
FB,2020-09-10T18:30:02.720976Z,market,buy,0.00,0.18580000,269.10660000
TWOU,2020-09-10T18:26:23.364969Z,market,buy,0.00,1.31000000,38.00000000
TDOC,2020-09-10T18:26:22.442096Z,market,buy,0.00,0.25230000,198.09750000
TWOU,2020-09-10T18:20:28.922181Z,market,buy,0.00,0.26180000,38.19710000
AMD,2020-09-10T18:20:28.821731Z,market,buy,0.00,0.12530000,79.80850000
MSFT,2020-09-10T18:18:09.071599Z,market,buy,0.00,0.04820000,207.46890000
AMD,2020-09-10T18:18:08.320375Z,market,buy,0.00,0.12520000,79.87220000
AMD,2020-09-10T18:06:46.258177Z,market,buy,0.00,0.62290000,80.26970000
AMD,2020-09-10T18:04:47.722748Z,market,buy,0.00,0.12447000,80.34060000
BIGC,2020-09-10T16:07:05.303555Z,market,buy,0.00,0.28677900,87.17510000
MSFT,2020-09-09T19:54:05.382477Z,market,buy,0.00,0.23488100,212.87380000
TDOC,2020-09-09T18:14:49.517122Z,market,sell,0.00,0.02710000,198.15500000
TQQQ,2020-09-08T19:52:34.851216Z,market,sell,0.00,0.81913400,122.08010000
PNTG,2020-09-08T19:52:03.422453Z,market,sell,0.00,2.97901200,33.15860000
TSLA,2020-09-08T19:47:58.211911Z,market,sell,0.00,0.75178700,331.64980000
MSFT,2020-09-17T13:30:06.792000Z,limit,buy,0.00,1.00000000,200.00000000
BIGC,2020-09-08T15:19:44.449371Z,market,buy,0.00,0.23348100,107.07510000
PYPL,2020-09-08T15:19:21.628159Z,market,buy,0.00,0.13127100,190.44570000
PYPL,2020-09-08T15:19:06.229928Z,market,buy,0.00,0.13120900,190.53570000
RUN,2020-09-08T14:51:59.848383Z,market,sell,0.00,0.53141700,51.25920000
PNTG,2020-09-04T19:05:09.474092Z,market,buy,0.00,0.70268700,35.57770000
TAN,2020-09-04T19:04:25.430572Z,market,buy,0.00,1.93348800,51.72000000
TAN,2020-09-04T19:04:10.446456Z,market,buy,0.00,1.93349100,51.71990000
TSLA,2020-09-04T18:58:12.958132Z,market,buy,0.00,0.23957900,417.39890000
GOOGL,2020-09-04T18:53:30.544173Z,market,buy,0.00,0.03150000,1585.39680000
GOOGL,2020-09-04T18:53:29.249664Z,market,buy,0.00,0.03150000,1585.71430000
TQQQ,2020-09-04T18:48:01.397349Z,market,buy,0.00,0.69755900,143.35700000
TQQQ,2020-09-04T18:40:45.811301Z,market,buy,0.00,0.70681300,141.48010000
PDD,2020-09-04T18:39:59.383715Z,market,buy,0.00,0.59199600,84.46000000
TSLA,2020-09-04T18:39:23.250199Z,market,buy,0.00,0.12140000,411.86160000
FB,2020-09-04T18:36:22.748407Z,market,buy,0.00,0.17769200,281.38580000
SQQQ,2020-09-04T18:28:14.582068Z,market,sell,0.00,8.48278200,24.08170000
PNTG,2020-09-04T17:18:25.225225Z,market,buy,0.00,1.39548200,35.82990000
TSLA,2020-09-04T15:22:47.196469Z,market,buy,0.00,0.39080800,383.82020000
SQQQ,2020-09-04T13:49:05.592417Z,market,buy,0.00,8.48278200,23.57720000
TDOC,2020-09-04T13:54:35.266000Z,market,sell,0.00,1.00000000,192.24000000
NIO,2020-09-04T13:54:48.955000Z,market,sell,0.00,8.00000000,17.85000000
ARKK,2020-09-04T13:46:36.712000Z,market,sell,0.00,1.00000000,87.48000000
ARKF,2020-09-04T13:46:26.009000Z,market,sell,0.00,1.00000000,38.70000000
ARKQ,2020-09-04T13:46:15.864000Z,market,sell,0.00,1.00000000,57.88000000
ARKW,2020-09-04T13:46:03.876000Z,market,sell,0.00,1.00000000,104.31000000
FB,2020-09-04T13:36:07.109648Z,market,buy,0.00,0.34694800,288.22760000
SQQQ,2020-09-04T13:33:09.817991Z,market,sell,0.00,4.69927000,22.42050000
BIGC,2020-09-04T13:32:55.153935Z,market,buy,0.00,0.53333300,93.75010000
TWOU,2020-09-04T14:12:29.428000Z,market,sell,0.00,2.00000000,36.00000000
PYPL,2020-09-04T13:49:41.043000Z,market,sell,0.00,1.00000000,194.66000000
RUN,2020-09-04T14:05:26.306000Z,market,sell,0.00,6.00000000,47.73330000
NVDA,2020-09-04T13:30:42.822460Z,market,sell,0.00,0.19120300,509.45850000
AMD,2020-09-04T13:30:26.735643Z,market,sell,0.00,1.20531700,81.39770000
BRK.B,2020-09-03T19:47:24.563416Z,market,buy,0.00,0.23016000,217.24020000
NIO,2020-09-03T19:46:52.756352Z,market,buy,0.00,2.67022600,18.72500000
NVDA,2020-09-03T19:46:16.963480Z,market,buy,0.00,0.09606500,520.48090000
SBUX,2020-09-03T19:40:24.120307Z,market,buy,0.00,0.58092200,86.07010000
AMD,2020-09-03T16:26:05.898070Z,market,buy,0.00,1.20531700,82.96570000
NVDA,2020-09-03T16:25:32.265404Z,market,buy,0.00,0.09513800,525.55240000
O,2020-09-03T16:15:40.716648Z,market,buy,0.00,0.62383900,64.11910000
BRK.B,2020-09-03T16:14:44.066361Z,market,buy,0.00,0.22794100,219.35500000
PYPL,2020-09-03T16:14:03.571953Z,market,buy,0.00,0.25171100,198.64050000
TWOU,2020-09-03T16:03:16.664049Z,market,buy,0.00,2.51636200,39.73990000
SBUX,2020-09-03T15:55:20.969017Z,market,buy,0.00,0.57448100,87.03510000
