Time,Tiker,Action,Amount(USD)
17/09/2020 08:52:08,NKLA,buy,50
17/09/2020 10:50:33,PYPL,Sell,44.955
23/09/2020 08:29:02,AMZN,buy,50
23/09/2020 08:29:42,AAPL,buy,50
23/09/2020 08:30:23,AMD,buy,50
23/09/2020 08:31:31,TQQQ,buy,50
23/09/2020 08:32:13,NKLA,buy,50
23/09/2020 08:39:10,TAN,sell,192.77
23/09/2020 08:59:04,TWOU,buy,50
23/09/2020 11:58:24,FB,buy,50
23/09/2020 14:00:21,GOOGL,sell,157.36
24/09/2020 08:42:47,NKLA,buy,50
24/09/2020 08:59:07,DIS,buy,50
24/09/2020 08:59:48,AMZN,buy,50
24/09/2020 09:00:27,AAPL,buy,50
24/09/2020 09:01:08,FB,buy,50
24/09/2020 09:01:47,NIO,buy,50
24/09/2020 09:03:07,GOOGL,buy,50
24/09/2020 09:03:46,AMD,buy,50
24/09/2020 09:04:57,TQQQ,buy,50
24/09/2020 09:05:35,PYPL,buy,50
24/09/2020 09:06:14,TWOU,buy,50
24/09/2020 09:06:55,TPR,buy,50
24/09/2020 09:07:30,NVDA,buy,50
24/09/2020 09:58:31,TDOC,buy,50
24/09/2020 12:20:27,NKLA,sell,40.86
25/09/2020 08:31:58,NKLA,sell,12.23
25/09/2020 08:39:13,TAN,sell,56.47
25/09/2020 08:59:08,NKLA,buy,50
25/09/2020 08:59:50,TWOU,buy,50
25/09/2020 09:59:09,TDOC,sell,116.56
25/09/2020 12:37:39,TDOC,sell,35.1
25/09/2020 12:59:47,AMD,buy,50
25/09/2020 13:59:22,BA,buy,50
25/09/2020 14:01:39,BA,buy,50
28/09/2020 09:14:28,TQQQ,sell,157.6
28/09/2020 09:15:57,DIS,buy,50
28/09/2020 09:16:44,AMZN,buy,50
28/09/2020 09:18:02,GOOGL,buy,50
28/09/2020 09:33:39,BA,sell,74.92
28/09/2020 09:35:38,PYPL,buy,50
29/09/2020 08:49:20,TQQQ,sell,48.11
29/09/2020 08:55:00,NIO,sell,42.16
29/09/2020 09:45:54,PYPL,buy,50
29/09/2020 12:31:32,NVDA,sell,37.41
30/09/2020 12:49:56,TPR,buy,50
30/09/2020 12:59:34,TQQQ,buy,50
01/10/2020 09:06:15,TQQQ,buy,50
05/10/2020 08:57:49,AMZN,buy,50
05/10/2020 08:58:26,TWOU,buy,50
05/10/2020 11:59:50,TWOU,buy,50
05/10/2020 13:57:13,AMD,sell,56.85
05/10/2020 13:59:16,TQQQ,buy,50
06/10/2020 10:59:29,JWN,buy,50
