,0
0,CMCSA
1,KMI
2,MU
3,GDX
4,GE
5,BAC
6,EEM
7,XLF
8,SIRI
9,HPQ
10,F
11,SNAP
12,WFC
13,AIG
14,T
15,C
16,VALE
17,MS
18,VWO
19,FXI
20,PFE
21,TWTR
22,AMLP
23,UVXY
24,DWDP
25,VXX
26,VEA
27,ZNGA
28,XOM
29,VIPS
30,CSCO
31,USO
32,GRPN
33,KEY
34,RF
35,KR
36,HAL
37,CLNS
38,GM
39,FCX
40,P
41,NUE
42,XOP
43,RAD
44,ESV
45,SLB
46,FLEX
47,FOXA
48,XRX
49,CVLT
50,X
51,MAT
52,CTL
53,MIK
54,DVN
55,BKLN
56,IBN
57,MPC
58,RDN
59,KO
60,AABA
61,SRC
62,NFX
63,COP
64,CHK
65,CTRP
66,AUY
67,DBEF
68,CLF
69,RSPP
70,GG
71,MGM
72,GFI
73,KGC
74,SCHW
75,NBR
76,JAG
77,WDC
78,BSX
79,ON
80,BK
81,HMY
82,APA
83,HOME
84,DAL
85,INFY
86,CCL
87,BHGE
88,PBR
89,DISCA
90,LPI
91,FITB
92,USB
93,JBLU
94,HBAN
95,DB
96,MRVL
97,ABX
98,WBA
99,CDNA
100,ETP
101,RSX
102,KNX
103,KBH
104,DISCK
105,XLE
106,MO
107,EOG
108,HPE
109,OKE
110,SVXY
111,HES
112,NLSN
113,TS
114,BOX
115,OXY
116,OCLR
117,SYF
118,IAU
119,MTG
120,LUV
121,FTI
122,AA
123,EWG
124,GES
125,FOX
126,ZION
127,CLDR
128,KRE
129,WMB
130,HBI
131,CFG
132,SU
133,SLV
134,JBL
135,NTR
136,PAH
137,EWU
138,PE
139,LVS
140,EGO
141,GSK
142,TEVA
143,PAA
144,SQQQ
145,VLO
146,CSRA
147,IMAX
148,FNB
149,ARNC
150,VOYA
151,SPXU
152,MLCO
153,SJNK
154,UAL
155,HRB
156,JBGS
157,IPG
158,KHC
159,COG
160,WTW
161,NYT
162,DBJP
163,AAL
164,OLN
165,JCI
166,VICI
167,VST
168,NWL
169,EPD
170,AU
171,MYL
172,XRAY
173,KKR
174,IEUR
175,CMC
176,SYMC
177,EWW
178,RMP
179,NRG
180,CPB
181,MOMO
182,TV
183,GLW
184,HRL
185,S
186,TECK
187,AES
188,PPL
189,SEE
190,NLY
191,EWT
192,STX
193,M
194,CY
195,KBE
196,STL
197,NYCB
198,NBL
199,FDC
200,BUFF
201,ARI
202,MET
203,AFL
204,TPR
205,WPM
206,BTG
207,WLL
208,LKQ
209,PCG
210,CRZO
211,CENX
212,CLR
213,FCAU
214,HL
215,UAA
216,CAG
217,STLD
218,ETE
219,ZTO
220,ZAYO
221,ADT
222,ALTR
223,GGP
224,CNP
225,TZA
226,MULE
227,FEZ
228,AER
229,GTN
230,CDE
231,NCR
232,PSTG
233,VRX
234,KAR
235,WPX
236,ADM
237,VTR
238,FG
239,HUN
240,CSTM
241,VER
242,GPK
243,KSS
244,XEC
245,OZRK
246,ATI
247,BDN
248,USG
249,OMER
250,WY
251,IVZ
252,SLM
253,HCP
254,SGU
255,ODP
256,PK
257,TOL
258,PDCO
259,BCO
260,PPBI
261,JMEI
262,AIV
263,EXC
264,TAP
265,GME
266,PEGI
267,MX
268,RLJ
269,LB
270,DLPH
271,NCLH
272,NOV
273,FNSR
274,MTZ
275,TBT
276,WEN
277,GPS
278,CEF
279,WDR
280,URA
281,AMTD
282,CPE
283,XME
284,CF
285,SABR
286,DISH
287,MGA
288,AEO
289,BP
290,NTNX
291,VVV
292,DDR
293,HQY
294,ARCC
295,MUR
296,OMAM
297,SDS
298,NOMD
299,PAY
300,SFIX
301,CCE
302,KIM
303,FNF
304,BXMT
305,NWS
306,IP
307,CLI
308,CC
309,DAN
310,LPX
311,ALDR
312,BG
313,NTCT
314,RDC
315,BEN
316,LUK
317,SHLX
318,CIVI
319,NAVI
320,PBH
321,SBH
322,SEP
323,NI
324,STNG
325,LADR
326,FHN
327,CXO
328,BIG
329,GCP
330,EWH
331,LBTYK
332,MEOH
333,GIII
334,USFD
335,SFM
336,THC
337,DOC
338,ALLY
339,AVP
340,PDM
341,KMT
342,SRNE
343,AMR
344,HP
345,FLR
346,BFR
347,JHG
348,LNG
349,EWZ
350,WU
351,AOBC
352,CARS
353,NUAN
354,PBF
355,GT
356,CNQ
357,CNHI
358,CNX
359,DXJ
360,FWONK
361,ARMK
362,ILG
363,HOMB
364,NKTR
365,GAB
366,CS
367,ARRS
368,AMH
369,FOE
370,MDRX
371,MOS
372,CTB
373,LPL
374,SKX
375,HST
376,UE
377,PHM
378,MT
379,ISBC
380,WRE
381,RRC
382,FL
383,NTAP
384,AGO
385,DRE
386,BBBY
387,CCJ
388,AXTA
389,VIAV
390,SHOO
391,PVG
392,HA
393,PBCT
394,UCBI
395,LBTYA
396,AVYA
397,SC
398,ANF
399,HIG
400,YELP
401,MTOR
402,ARRY
403,MITL
404,SPXS
405,IRM
406,EWC
