tiker,sector,label
NIO,technology,#china#clean-energy#ev
XPEV,technology,#china#clean-energy#ev
LI,technology,#china#clean-energy#ev
TSLA,technology,#clean-energy#ev
BYDDY,technology,#china#clean-energy#ev
WKHS,technology,#clean-energy#ev
FUV,technology,#clean-energy#ev
LIT,ETF,#clean-energy#ev
PLUG,technology,#clean-energy#ev
TAN,ETF,#clean-energy
SEDG,technology,#clean-energy
RUN,technology,#clean-energy
CSIQ,technology,#clean-energy
ENPH,technology,#clean-energy
RVLV,consumer,#e-commerce
TPR,consumer,#e-commerce
AMZN,technology,#e-commerce#saas#FAANG
JWN, consumer,#e-commerce
LUV, industrials,#airlines#travel
TDOC,technology,#biotech-healthcare
AGNC,realEstating,#highdiv
SQ,technology,#fin-tech#bitcoin#e-commerce
AMD,technology,#semiconductor
NLY,realEstating,#highdiv
ARKK,ETF,#ARK
UPS,industrials,#deliverService#e-commerce
XNTK,ETF,
AAPL,technology,#FAANG
DKNG,technology,#gambling#gaming
A,technology,
GS,financialServices,#fin-tech#bitcoin
PLTR,technology,#cyberSecurity
EVRI,services,#gambling#gaming
ABNB,technology,#travel#tourism 
VGAC,services,#spac
SNOW,technology,#saas
UBER,technology,#travel
GOOG,technology,#saas#FAANG
PYPL,technology,#fin-tech#bitcoin#digitalCurrency
ARKF,ETF,#fin-tech
MEDP,healthcare,#healthcare
DIS,services,#tourism#streaming
V,financialServices,#fin-tech
TSN,industrials,#food
T,services,#5g
DASH,services,#deliverService#food
BEAT,healthcare,#healthcare
NKE,industrials,#consumer#e-commerce
HLT,services,#tourism#travel
CVX,energy,#travel
NVDA,industrials,#ev
ADBE,technology,#digitalMedia
FB,communicationServices,#FAANG#socialMedia
TWTR,communicationServices,#socialMedia
BABA,technology,#china#e-commerce#fin-tech
SDC,healthcare,#healthcare#dental
SI,financialServices,#banking#digitalCurrency
MSFT,technology,#FAANG#saas
CRM,technology,#saas
U,technology,#saas
CC,industrials,#manufacturing
BLOK,ETF,#blackchain
PSTG,technology,#cloudStorage
CCL,services,#cruise
BAC,financialServices,#banking
BA,industrials,#travel
CRON,industrials,#mj
ZM,technology,#office
MU,industrials,#chip
