symbol,name,price,exchange
SPY,SPDR S&P 500,334.25,NYSE Arca
CMCSA,Comcast Corp,46.76,Nasdaq Global Select
KMI,Kinder Morgan Inc,12.61,New York Stock Exchange
INTC,Intel Corp,51.43,Nasdaq Global Select
MU,Micron Technology Inc,49.72,Nasdaq Global Select
GDX,VanEck Vectors Gold Miners,38.89,NYSE Arca
GE,General Electric Co,6.2,New York Stock Exchange
BAC,Bank of America Corp,24.09,New York Stock Exchange
EEM,iShares MSCI Emerging Index Fund,43.42,NYSE Arca
XLF,SPDR Select Sector Fund - Financial,24.05,NYSE Arca
AAPL,Apple Inc,114.96,Nasdaq Global Select
MSFT,Microsoft Corp,209.54,Nasdaq Global Select
SIRI,Sirius XM Holdings Inc,5.29,Nasdaq Global Select
HPQ,HP Inc,18.86,New York Stock Exchange
CX,Cemex S.A.B. de C.V. Sponsored ADR,3.72,New York Stock Exchange
EFA,iShares MSCI EAFE,64.03,NYSE Arca
CZR,Caesars Entertainment Inc,58.21,Nasdaq Global Select
QQQ,PowerShares QQQ Trust Series 1,277.2,NASDAQ Global Market
F,Ford Motor Co,6.69,New York Stock Exchange
AMD,Advanced Micro Devices Inc,79.48,NASDAQ Capital Market
SNAP,Snap Inc,25.74,New York Stock Exchange
FB,Facebook Inc,256.82,Nasdaq Global Select
WFC,Wells Fargo & Co,23.82,New York Stock Exchange
AIG,American International Group Inc,27.63,New York Stock Exchange
T,AT&T Inc,28.38,New York Stock Exchange
C,Citigroup Inc,43.34,New York Stock Exchange
VALE,VALE S.A. American Depositary Shares Each Representing one,10.49,New York Stock Exchange
MS,Morgan Stanley,48.38,New York Stock Exchange
AKS,AK Steel Holding Corporation,1.55,New York Stock Exchange
JPM,JPMorgan Chase & Co,96.16,New York Stock Exchange
ORCL,Oracle Corp,59.58,New York Stock Exchange
NKE,Nike Inc,124.32,New York Stock Exchange
VWO,Vanguard FTSE Emerging Markets,42.57,NYSE Arca
PG,Procter & Gamble Co,138.01,New York Stock Exchange
FXI,iShares China Large-Cap,41.33,NYSE Arca
IWM,iShares Russell 2000,150.13,NYSE Arca
GSM,Ferroglobe PLC,0.7201,Nasdaq Global Select
HK,Halcon Resources Corporation,0.19,New York Stock Exchange
BBD,Banco Bradesco Sa American Depositary Shares,3.48,New York Stock Exchange
PFE,Pfizer Inc,36.39,New York Stock Exchange
JD,JD.com Inc.,76.1,Nasdaq Global Select
NOK,Nokia Corporation Sponsored American Depositary Shares,3.9,New York Stock Exchange
TWTR,Twitter Inc,44.15,New York Stock Exchange
AMLP,Alerian MLP,20.11,NYSE Arca
AVGO,Broadcom Inc,367.3,Nasdaq Global Select
AMAT,Applied Materials Inc,59.36,Nasdaq Global Select
WFT,Weatherford International plc (Ireland),0.36,New York Stock Exchange
UVXY,ProShares Trust Ultra VIX Short Term Futures,20.65,NYSE Arca
DWDP,DowDuPont Inc.,30.51,New York Stock Exchange
VXX,iPath S&P 500 VIX Short Term Futures TM ETN,25.41,NYSE Arca
VEA,Vanguard FTSE Developed Markets,41.06,NYSE Arca
ZNGA,Zynga Inc,9.07,Nasdaq Global Select
XOM,Exxon Mobil Corp,35.31,New York Stock Exchange
QCOM,Qualcomm Inc,118.47,Nasdaq Global Select
TVIX,VelocityShares Daily 2x VIX Short Term ETN,112.36,NASDAQ Global Market
VIPS,Vipshop Holdings Ltd,15.9,New York Stock Exchange
GLD,SPDR Gold Trust,176.7,NYSE Arca
CSCO,Cisco Systems Inc,39.13,Nasdaq Global Select
AXP,American Express Co,98.82,New York Stock Exchange
BMY,Bristol-Myers Squibb Co,59.71,New York Stock Exchange
V,Visa Inc,200.32,New York Stock Exchange
USO,United States Oil Fund,28.69,NYSE Arca
GRPN,Groupon Inc,23.82,Nasdaq Global Select
WP,Worldpay Inc. Class A,124.37,New York Stock Exchange
OIH,VanEck Vectors Oil Services,101.16,NYSE Arca
GERN,Geron Corp,1.71,Nasdaq Global Select
KEY,KeyCorp,12.13,New York Stock Exchange
RF,Regions Financial Corp,11.51,New York Stock Exchange
KR,Kroger Co,33.7,New York Stock Exchange
HAL,Halliburton Co,12.76,New York Stock Exchange
BABA,Alibaba Group Holding Ltd,276.01,New York Stock Exchange
MRO,Marathon Oil Corp,4.29,New York Stock Exchange
CLNS,Colony NorthStar Inc.,6.41,New York Stock Exchange
GILD,Gilead Sciences Inc,62.85,Nasdaq Global Select
IEMG,iShares Core MSCI Emerging Markets,51.97,NYSE Arca
GM,General Motors Co,29.44,New York Stock Exchange
FCX,Freeport-McMoRan Inc,15.9,New York Stock Exchange
CRM,Salesforce.Com Inc,246.67,New York Stock Exchange
ATVI,Activision Blizzard Inc,81.95,Nasdaq Global Select
SQ,Square Inc,160.67,New York Stock Exchange
P,Pandora Media Inc.,8.4,New York Stock Exchange
XLK,SPDR Select Sector Fund - Technology,116.12,NYSE Arca
TWX,Time Warner Inc.,98.91,New York Stock Exchange
NUE,Nucor Corp,46.27,New York Stock Exchange
XOP,SPDR S&P Oil & Gas Explor & Product,43.76,NYSE Arca
SWN,Southwestern Energy Co,2.5,New York Stock Exchange
LOW,Lowe`s Companies Inc,162.59,New York Stock Exchange
RAD,Rite Aid Corp,9.78,New York Stock Exchange
VEON,VEON Ltd.,1.27,Nasdaq Global Select
HYG,iShares iBoxx $ High Yield Corporate Bond,83.49,NYSE Arca
APC,Anadarko Petroleum Corporation,69.92,New York Stock Exchange
JNK,SPDR Bloomberg Barclays High Yield Bond,103.81,NYSE Arca
EWJ,iShares MSCI Japan Index Fund,59.58,NYSE Arca
XLU,SPDR Select Sector Fund - Utilities,58.87,NYSE Arca
ESV,Ensco plc Class A,7.38,New York Stock Exchange
SLB,Schlumberger NV,16.45,New York Stock Exchange
FLEX,Flex Ltd,10.93,Nasdaq Global Select
FOXA,Fox Corp,27.84,Nasdaq Global Select
ABBV,Abbvie Inc,87.28,New York Stock Exchange
GIS,General Mills Inc,59.9,New York Stock Exchange
VZ,Verizon Communications Inc,59.36,New York Stock Exchange
XRX,Xerox Holdings Corp,18.58,New York Stock Exchange
CVLT,Commvault Systems Inc,40.97,Nasdaq Global Select
IEFA,iShares Core MSCI EAFE,60.63,BATS Exchange
X,United States Steel Corp,7.58,New York Stock Exchange
MAT,Mattel Inc,11.4,Nasdaq Global Select
CTL,Centurylink Inc,11.0,New York Stock Exchange
MIK,Michaels Companies Inc,9.58,Nasdaq Global Select
DVN,Devon Energy Corp,9.8,New York Stock Exchange
BKLN,PowerShares Exchange-Traded Fund Trust,21.73,NYSE Arca
IBN,ICICI Bank Limited,9.82,New York Stock Exchange
MPC,Marathon Petroleum Corp,29.95,New York Stock Exchange
EZU,iShares MSCI Eurozone,38.11,BATS Exchange
PM,Philip Morris International Inc,76.31,New York Stock Exchange
MSCI,MSCI Inc,354.47,New York Stock Exchange
RDN,Radian Group Inc,15.01,New York Stock Exchange
KO,Coca-Cola Co,49.28,New York Stock Exchange
AABA,Altaba Inc.,19.63,Nasdaq Global Select
SRC,Spirit Realty Capital Inc,35.18,New York Stock Exchange
NFX,Newfield Exploration Company,17.03,New York Stock Exchange
COP,ConocoPhillips,33.71,New York Stock Exchange
CHK,Chesapeake Energy Corporation,11.85,New York Stock Exchange
DIS,Walt Disney Co,125.99,New York Stock Exchange
LEN,Lennar Corp,79.64,New York Stock Exchange
CVX,Chevron Corp,73.93,New York Stock Exchange
PYPL,PayPal Holdings Inc,192.02,Nasdaq Global Select
GDXJ,VanEck Vectors Junior Gold Miners,55.26,NYSE Arca
CTRP,Ctrip.com International Ltd.,35.97,Nasdaq Global Select
AUY,Yamana Gold Inc,5.68,New York Stock Exchange
DBEF,Xtrackers MSCI EAFE Hedged Equity,30.86,NYSE Arca
WMT,Walmart Inc,137.25,New York Stock Exchange
CLF,Cleveland-Cliffs Inc,6.56,New York Stock Exchange
MRK,Merck & Co Inc,82.76,New York Stock Exchange
MDLZ,Mondelez International Inc,57.01,Nasdaq Global Select
RSPP,RSP Permian Inc.,47.93,New York Stock Exchange
GG,Goldcorp Inc.,11.22,New York Stock Exchange
MGM,MGM Resorts International,22.63,New York Stock Exchange
GFI,Gold Fields Limited American Depositary Shares,11.89,New York Stock Exchange
KGC,Kinross Gold Corp,8.87,New York Stock Exchange
SCHW,Charles Schwab Corp,36.2,New York Stock Exchange
NBR,Nabors Industries Ltd,26.55,New York Stock Exchange
SRCI,SRC Energy Inc.,4.0,NYSE American
JAG,Jagged Peak Energy Inc.,8.23,New York Stock Exchange
NVDA,NVIDIA Corp,521.4,Nasdaq Global Select
JNJ,Johnson & Johnson,147.11,New York Stock Exchange
WDC,Western Digital Corp,38.62,Nasdaq Global Select
BSX,Boston Scientific Corp,38.0,New York Stock Exchange
STI,SunTrust Banks Inc.,70.13,New York Stock Exchange
ON,ON Semiconductor Corp,21.725,Nasdaq Global Select
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),4.01,New York Stock Exchange
BK,Bank of New York Mellon Corp,34.29,New York Stock Exchange
HMY,Harmony Gold Mining Company Limited,5.18,New York Stock Exchange
APA,Apache Corp,10.27,New York Stock Exchange
HOME,At Home Group Inc,14.23,New York Stock Exchange
NGD,New Gold Inc,1.68,NYSE American
KOS,Kosmos Energy Ltd,1.06,New York Stock Exchange
DAL,Delta Air Lines Inc,31.34,New York Stock Exchange
INFY,Infosys Limited American Depositary Shares,13.63,New York Stock Exchange
CCL,Carnival Corp,15.31,New York Stock Exchange
BHGE,Baker Hughes a GE company Class A,25.18,New York Stock Exchange
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,3.39,New York Stock Exchange
PBR,Petroleo Brasileiro S.A.- Petrobras,7.2,New York Stock Exchange
DISCA,Discovery Inc,21.95,Nasdaq Global Select
LPI,Laredo Petroleum Inc,10.0,New York Stock Exchange
ABT,Abbott Laboratories,104.44,New York Stock Exchange
FITB,Fifth Third Bancorp,21.34,Nasdaq Global Select
PTEN,Patterson-UTI Energy Inc,3.0,Nasdaq Global Select
USB,U.S. Bancorp,36.1,New York Stock Exchange
BA,Boeing Co,166.08,New York Stock Exchange
GGB,Gerdau S.A.,3.62,New York Stock Exchange
JBLU,JetBlue Airways Corp,11.95,Nasdaq Global Select
QEP,QEP Resources Inc,0.9663,New York Stock Exchange
EBAY,eBay Inc,54.04,Nasdaq Global Select
HBAN,Huntington Bancshares Inc,9.12,Nasdaq Global Select
DB,Deutsche Bank AG,8.43,New York Stock Exchange
MRVL,Marvell Technology Group Ltd,39.89,Nasdaq Global Select
ABX,Barrick Gold Corporation,13.55,New York Stock Exchange
WBA,Walgreens Boots Alliance Inc,36.07,Nasdaq Global Select
CDNA,CareDx Inc,34.64,NASDAQ Global Market
ETP,Energy Transfer Partners L.P. representing limited partner interests,21.49,New York Stock Exchange
RSX,VanEck Vectors Russia,20.83,NYSE Arca
KNX,Knight-Swift Transportation Holdings Inc,42.3,New York Stock Exchange
KBH,KB Home,38.64,New York Stock Exchange
DISCK,Discovery Communications Inc.,19.73,Nasdaq Global Select
PGR,Progressive Corp,93.98,New York Stock Exchange
XLE,SPDR Select Sector Fund - Energy Select Sector,30.9,NYSE Arca
MO,Altria Group Inc,38.95,New York Stock Exchange
MDT,Medtronic PLC,103.63,New York Stock Exchange
RIG,Transocean Ltd,0.8756,New York Stock Exchange
BCS,Barclays PLC,4.99,New York Stock Exchange
CDEV,Centennial Resource Development Inc,0.6549,NASDAQ Capital Market
DNR,Denbury Resources Inc,0.241,New York Stock Exchange
EOG,EOG Resources Inc,37.44,New York Stock Exchange
XLP,SPDR Select Sector Fund - Consumer Staples,63.75,NYSE Arca
HPE,Hewlett Packard Enterprise Co,9.48,New York Stock Exchange
TXN,Texas Instruments Inc,141.94,Nasdaq Global Select
OAS,Oasis Petroleum Inc,0.4117,New York Stock Exchange
OKE,ONEOK Inc,26.01,New York Stock Exchange
CVS,CVS Health Corp,57.94,New York Stock Exchange
SVXY,ProShares Short VIX Short Term Futures,35.12,NYSE Arca
HES,Hess Corp,41.03,New York Stock Exchange
GDDY,GoDaddy Inc,74.93,New York Stock Exchange
BX,Blackstone Group Inc,52.66,New York Stock Exchange
NLSN,Nielsen Holdings PLC,14.16,New York Stock Exchange
TS,Tenaris S.A. American Depositary Shares,9.86,New York Stock Exchange
BOX,Box Inc,17.67,New York Stock Exchange
OXY,Occidental Petroleum Corp,10.34,New York Stock Exchange
OCLR,Oclaro Inc.,8.27,Nasdaq Global Select
CVE,Cenovus Energy Inc,4.14,New York Stock Exchange
SYF,Synchrony Financial,25.79,New York Stock Exchange
IAU,ishares Gold Trust,17.94,NYSE Arca
MTG,MGIC Investment Corp,9.04,New York Stock Exchange
LUV,Southwest Airlines Co,38.24,New York Stock Exchange
FTI,TechnipFMC PLC,6.37,New York Stock Exchange
AA,Alcoa Corp,12.24,New York Stock Exchange
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),2.23,New York Stock Exchange
VTI,Vanguard Total Stock Market,169.99,NYSE Arca
EQR,Equity Residential,52.54,New York Stock Exchange
EWG,iShares MSCI Germany Index Fund,29.27,NYSE Arca
ESRX,Express Scripts Holding Company,92.48,Nasdaq Global Select
MDR,McDermott International Inc.,78.0,New York Stock Exchange
ETSY,ETSY Inc,123.69,Nasdaq Global Select
ANDV,Andeavor,152.35,New York Stock Exchange
TAL,TAL Education Group,74.28,New York Stock Exchange
UNH,UnitedHealth Group Inc,303.23,New York Stock Exchange
ECA,Encana Corporation,3.79,New York Stock Exchange
GES,Guess? Inc,11.93,New York Stock Exchange
